year,month,import_val,export_val,import_kg,export_kg,import_val_growth,import_val_growth_5,export_val_growth,export_val_growth_5,wld_diversity,wld_diversity_eff,hs_diversity,hs_diversity_eff,eci,bra_id,ibge_id
2013,0,199632936.00,44728130.00,54573510,14856889,0.074246,0.0261702,-0.456246,-0.11845,53,20.0082,73,8.10727,0.413608,4rj020213,3304904
2014,0,204510658.00,38278365.00,46131872,11549525,0.0244335,0.024536,-0.144199,-0.108644,41,16.6495,75,11.6429,0.113867,4rj020213,3304904
2000,0,53218645.00,127278996.00,8153254,738335179,None,None,None,None,17,4.75948,59,1.30212,None,4rj040102,3302403
2001,0,95469965.00,463533519.00,11108094,2147483647,0.79392,None,2.64187,None,29,7.73388,79,1.35023,None,4rj040102,3302403
2002,0,75184511.00,237534487.00,6875378,1950280622,-0.21248,None,-0.487557,None,27,6.10129,82,1.16549,0.140683,4rj040102,3302403
2003,0,91841423.00,9453009.00,9404163,2059935,0.221547,None,-0.960204,None,37,14.215,169,40.0572,-0.299913,4rj040102,3302403
2004,0,120107566.00,16050455.00,13274691,2347212,0.307771,None,0.69792,None,53,14.2712,216,25.4403,0.259926,4rj040102,3302403
2005,0,209939415.00,16288022.00,16409601,5989689,0.747928,0.315849,0.0148013,-0.337139,56,16.1371,208,37.314,-0.266096,4rj040102,3302403
2006,0,223218155.00,523950207.00,18720052,1591446431,0.0632503,0.185148,31.1678,0.0248063,52,2.70317,164,1.3019,0.245258,4rj040102,3302403
2007,0,339097345.00,2233039592.00,29632927,2147483647,0.51913,0.351572,3.26193,0.565431,53,1.84655,157,1.07492,0.441175,4rj040102,3302403
2008,0,509917073.00,4474850769.00,39755382,2147483647,0.503748,0.408939,1.00393,2.42801,55,2.77101,137,1.07937,-0.870128,4rj040102,3302403
2009,0,661714230.00,2672873308.00,85712657,2147483647,0.29769,0.40676,-0.40269,1.78162,58,2.95845,141,1.08607,-1.34819,4rj040102,3302403
2010,0,595716201.00,3591083399.00,54175446,2147483647,-0.099738,0.231939,0.343529,1.94219,69,2.78188,189,1.07349,-3.14542,4rj040102,3302403
2011,0,661281106.00,3467368346.00,48705698,2147483647,0.110061,0.2426,-0.0344506,0.459291,66,3.21346,222,1.14171,0.0532314,4rj040102,3302403
2012,0,713185214.00,3523546152.00,53688878,2147483647,0.0784902,0.160314,0.0162019,0.0955109,66,7.61836,267,1.11883,-0.305271,4rj040102,3302403
2013,0,895118965.00,4470961346.00,103626761,2147483647,0.2551,0.119119,0.268881,-0.000173895,71,5.03488,241,1.17567,-0.337771,4rj040102,3302403
2014,0,697277034.00,2966819113.00,39445581,2147483647,-0.221023,0.0105248,-0.336425,0.0210865,78,6.95885,287,1.37781,-0.421815,4rj040102,3302403
2000,0,1043986934.00,56715911.00,2147483647,368480050,None,None,None,None,8,2.89187,132,2.19857,None,4rj050000,3300100
2001,0,982966979.00,283482396.00,2147483647,2147483647,-0.058449,None,3.99829,None,15,5.9275,122,1.85848,None,4rj050000,3300100
2002,0,1098180455.00,899953789.00,2147483647,2147483647,0.11721,None,2.17464,None,18,5.98487,39,1.40673,-1.16273,4rj050000,3300100
2003,0,1063491136.00,915948305.00,2147483647,2147483647,-0.031588,None,0.0177726,None,12,7.04586,48,1.8286,-0.817874,4rj050000,3300100
2004,0,1911784986.00,828273232.00,2147483647,2147483647,0.79765,None,-0.0957205,None,12,6.31792,7,2.00824,-0.582648,4rj050000,3300100
2005,0,2140161013.00,357817227.00,2147483647,1755250582,0.119457,0.154384,-0.567996,0.445411,11,5.1677,7,1.89919,-0.206615,4rj050000,3300100
2006,0,1586577742.00,786222665.00,2147483647,2147483647,-0.258664,0.100486,1.19727,0.22632,11,6.92935,6,1.16288,-0.305181,4rj050000,3300100
2007,0,2259088894.00,5953137385.00,2147483647,2147483647,0.423875,0.155186,6.57182,0.459167,15,8.62938,7,1.4847,-2.50411,4rj050000,3300100
2008,0,3852782900.00,6656271563.00,2147483647,2147483647,0.705459,0.293624,0.118112,0.486867,16,8.89329,8,1.45133,-2.19799,4rj050000,3300100
2009,0,2204916702.00,5542321994.00,2147483647,2147483647,-0.427708,0.0289414,-0.167353,0.462526,13,7.13766,4,1.03489,-1.80444,4rj050000,3300100
2010,0,2591953665.00,9728845401.00,2147483647,2147483647,0.175534,0.0390493,0.755374,0.935887,17,7.95229,5,1.09788,-3.23065,4rj050000,3300100
2011,0,3420139015.00,14297423718.00,2147483647,2147483647,0.319522,0.166048,0.469591,0.786251,16,7.59523,15,1.45385,-2.74748,4rj050000,3300100
2012,0,3848926575.00,12207628448.00,2147483647,2147483647,0.125371,0.112452,-0.146166,0.154455,13,6.20586,9,1.46014,-2.40402,4rj050000,3300100
2013,0,3017914446.00,5294035468.00,2147483647,2147483647,-0.215907,-0.0476722,-0.566334,-0.0447629,13,5.27817,9,1.95158,-1.08325,4rj050000,3300100
2014,0,3844363632.00,5838027500.00,2147483647,2147483647,0.273848,0.1176,0.102756,0.0104501,14,6.00837,28,1.66395,-1.34402,4rj050000,3300100
2000,0,1300827660.00,839213930.00,225741276,223421177,None,None,None,None,140,14.9784,394,24.782,None,4sp040101,3509502
2001,0,1164085725.00,799704507.00,250630296,454720125,-0.105119,None,-0.0470791,None,146,14.7687,405,29.2521,None,4sp040101,3509502
2002,0,880742358.00,543839389.00,209998735,196001227,-0.243404,None,-0.31995,None,143,14.8452,415,32.9934,7.1333,4sp040101,3509502
2003,0,667742707.00,661123652.00,258724993,239102075,-0.241841,None,0.21566,None,141,15.3584,477,32.3412,5.43153,4sp040101,3509502
2004,0,1112386602.00,827616674.00,295809835,222749420,0.665891,None,0.251833,None,149,14.6158,500,27.0838,2.50738,4sp040101,3509502
2005,0,1331279883.00,1181497059.00,253767408,241200988,0.196778,0.00463874,0.42759,0.0708089,146,14.1288,500,22.3912,5.43671,4sp040101,3509502
2006,0,1364868771.00,1466538606.00,302489659,236263057,0.0252305,0.0323363,0.241255,0.128945,148,12.6486,511,15.7257,5.38456,4sp040101,3509502
2007,0,1582308943.00,1291044120.00,357488739,241040800,0.159312,0.124316,-0.119666,0.18876,162,16.2051,464,23.8939,3.92717,4sp040101,3509502
2008,0,2466033146.00,1235033501.00,431766140,249131948,0.558503,0.298608,-0.043384,0.133129,147,18.3415,511,23.5761,1.83881,4sp040101,3509502
2009,0,2047798624.00,1010739349.00,318827207,173483072,-0.169598,0.129812,-0.18161,0.0407873,152,15.9143,482,23.4801,4.69571,4sp040101,3509502
2010,0,2640358342.00,986840358.00,629265905,204342797,0.289364,0.146776,-0.0236451,-0.0353654,141,19.8412,504,32.1824,3.35162,4sp040101,3509502
2011,0,3603481307.00,1095374095.00,531381507,325669112,0.36477,0.214301,0.109981,-0.0566914,140,20.494,483,33.5192,3.56915,4sp040101,3509502
2012,0,3947939902.00,1210864554.00,331943240,481816949,0.0955905,0.200648,0.105435,-0.0127415,138,20.41,475,31.6124,1.2832,4sp040101,3509502
2013,0,4118112954.00,1243152053.00,397156064,513181651,0.0431043,0.108,0.0266648,0.00131127,135,22.8992,492,34.2708,5.46859,4sp040101,3509502
2014,0,3772068545.00,1228534118.00,413039602,489789941,-0.0840298,0.129948,-0.0117588,0.0397995,129,22.9283,471,33.8444,4.96046,4sp040101,3509502
2000,0,345844854.00,42612364.00,20525286,7133850,None,None,None,None,40,5.80443,107,10.7442,None,4sp040105,3519071
2001,0,319112265.00,62225500.00,32971339,6969562,-0.0772965,None,0.460269,None,44,9.2879,155,17.3776,None,4sp040105,3519071
2002,0,256340951.00,41477860.00,47309478,7407121,-0.196706,None,-0.333427,None,52,14.7969,160,15.692,2.90396,4sp040105,3519071
2003,0,276640393.00,48340131.00,29958031,14414051,0.0791892,None,0.165444,None,71,16.6134,101,11.5233,1.26416,4sp040105,3519071
2004,0,370195317.00,93093552.00,36263643,32907113,0.338182,None,0.925803,None,73,19.0813,118,9.25476,2.34624,4sp040105,3519071
2005,0,388910143.00,103638776.00,25360796,41299257,0.0505539,0.0237492,0.113276,0.194531,70,18.3811,118,6.9948,1.49056,4sp040105,3519071
2006,0,442796890.00,86818260.00,27292941,34300920,0.138558,0.0677073,-0.162299,0.068879,74,18.7044,102,15.6584,1.10984,4sp040105,3519071
2007,0,715820182.00,167275975.00,36343377,32724286,0.616588,0.227997,0.926737,0.321671,74,15.459,122,16.6406,2.35715,4sp040105,3519071
2008,0,1025719557.00,179341508.00,37775386,18609190,0.432929,0.299639,0.0721295,0.299794,51,14.0409,138,16.0073,2.64026,4sp040105,3519071
2009,0,948164549.00,146958444.00,32993880,8649147,-0.0756103,0.206954,-0.180566,0.0956075,54,8.52756,176,13.6546,3.42853,4sp040105,3519071
2010,0,1412022666.00,488311186.00,51750925,17699153,0.489217,0.294191,2.32278,0.363436,55,2.97697,155,5.38264,4.06627,4sp040105,3519071
2011,0,1311839536.00,391426935.00,67142222,18987761,-0.0709501,0.242611,-0.198407,0.351475,68,4.67048,142,8.14574,4.70558,4sp040105,3519071
2012,0,1270697013.00,142024965.00,72796003,12528304,-0.0313625,0.121625,-0.637161,-0.0321986,66,11.8031,133,17.1473,1.94452,4sp040105,3519071
2013,0,1238421200.00,139542136.00,69929474,13502093,-0.0254001,0.0384078,-0.0174816,-0.0489466,73,13.4457,136,17.3496,1.46543,4sp040105,3519071
2014,0,1208340070.00,119191913.00,73557730,8198458,-0.0242899,0.0496901,-0.145836,-0.041018,77,15.6884,145,17.6322,1.638,4sp040105,3519071
2000,0,402098213.00,130971845.00,638646810,107265500,None,None,None,None,48,14.4565,95,16.2532,None,4sp040110,3536505
2001,0,402395064.00,134487068.00,570566006,107683725,0.000738255,None,0.0268395,None,51,16.1926,117,21.3071,None,4sp040110,3536505
2002,0,390185375.00,161186449.00,631108638,121804461,-0.0303425,None,0.198528,None,55,18.956,108,17.37,5.6228,4sp040110,3536505
2003,0,486799993.00,166315251.00,684972208,111772938,0.247612,None,0.0318191,None,54,18.5765,117,15.881,5.36882,4sp040110,3536505
2004,0,785182264.00,240101677.00,836866236,157212966,0.612946,None,0.443654,None,56,15.1992,134,13.8428,4.49034,4sp040110,3536505
2005,0,819768913.00,345354019.00,757775901,214289801,0.0440492,0.153113,0.438366,0.213996,57,15.1876,135,13.6237,4.92808,4sp040110,3536505
2006,0,817813971.00,387935929.00,672633597,273520432,-0.00238475,0.152392,0.123299,0.235993,60,16.071,123,13.0728,5.39394,4sp040110,3536505
2007,0,1252336527.00,460190677.00,941079856,320787654,0.531322,0.26267,0.186254,0.233451,67,15.8408,127,11.6221,3.39571,4sp040110,3536505
2008,0,1579396239.00,578336315.00,758768018,450092981,0.26116,0.265401,0.256732,0.283068,70,19.97,137,12.3586,4.12976,4sp040110,3536505
2009,0,1465249735.00,493047169.00,601873975,353174415,-0.0722722,0.132891,-0.147473,0.154778,69,19.6451,115,14.7313,3.12895,4sp040110,3536505
2010,0,1627026835.00,630370884.00,647478318,299272597,0.110409,0.14694,0.27852,0.127889,71,18.108,136,13.0481,4.19578,4sp040110,3536505
2011,0,2049755669.00,818536240.00,741220485,352234924,0.259817,0.201737,0.298499,0.161062,72,20.512,154,13.7569,3.58095,4sp040110,3536505
2012,0,2266228813.00,750195731.00,754771390,352910601,0.105609,0.125943,-0.0834911,0.102675,73,18.7509,181,14.3172,3.56812,4sp040110,3536505
2013,0,3094062147.00,669781657.00,831624946,294002807,0.365291,0.143951,-0.107191,0.0297945,62,16.9007,157,18.5329,3.82613,4sp040110,3536505
2014,0,3326896450.00,774199728.00,772215246,337465287,0.075252,0.178218,0.155899,0.0944424,75,19.8196,153,16.6874,3.65916,4sp040110,3536505
2000,0,261220483.00,142187458.00,50293119,117721847,None,None,None,None,75,15.2084,180,15.7491,None,4sp040113,3552403
2001,0,233854003.00,123435806.00,52033434,45411469,-0.104764,None,-0.13188,None,73,11.9877,166,15.4251,None,4sp040113,3552403
2002,0,234778596.00,135606048.00,69233375,54125529,0.00395372,None,0.0985957,None,79,12.8718,199,17.0976,8.45185,4sp040113,3552403
2003,0,322077160.00,191334007.00,85636640,69813097,0.371834,None,0.410955,None,84,12.3634,236,17.482,8.26198,4sp040113,3552403
2004,0,451725742.00,285817185.00,95503138,73959589,0.402539,None,0.493813,None,85,12.8541,244,18.2826,7.3688,4sp040113,3552403
2005,0,551476470.00,422949476.00,96957713,88965526,0.220821,0.161192,0.47979,0.243614,85,14.3002,235,16.1712,7.34095,4sp040113,3552403
2006,0,711793890.00,494638753.00,103195791,90072659,0.290706,0.249344,0.169498,0.319986,84,13.426,242,14.0439,9.04005,4sp040113,3552403
2007,0,988473102.00,675092985.00,134763454,104940712,0.388707,0.333096,0.36482,0.378532,86,12.3544,273,12.325,8.26229,4sp040113,3552403
2008,0,1621010904.00,714716604.00,191483530,97687167,0.639914,0.381546,0.0586936,0.301572,91,10.6825,259,13.6564,8.25473,4sp040113,3552403
2009,0,1398075774.00,482379190.00,157530471,71255256,-0.137528,0.25352,-0.325076,0.11035,87,8.87284,246,9.50407,6.53561,4sp040113,3552403
2010,0,1678386041.00,707261678.00,191193718,92391847,0.200497,0.249318,0.466194,0.108303,80,7.20307,264,8.88895,7.59436,4sp040113,3552403
2011,0,1471463692.00,569301579.00,172724745,75636235,-0.123287,0.156323,-0.195062,0.0285155,83,9.55787,251,17.0259,7.26101,4sp040113,3552403
2012,0,1802949042.00,647157403.00,203683429,86877453,0.225276,0.127726,0.136757,-0.00841656,76,7.50775,242,16.8088,6.03566,4sp040113,3552403
2013,0,1460526030.00,631841227.00,183280265,91515014,-0.189924,-0.0206348,-0.0236668,-0.0243483,83,7.71447,237,15.4994,4.67153,4sp040113,3552403
2014,0,715344506.00,395420115.00,162905443,76223653,-0.510214,-0.125425,-0.374178,-0.0389764,75,10.4583,250,23.9365,4.60187,4sp040113,3552403
2000,0,101228457.00,19989590.00,56665373,4593382,None,None,None,None,18,4.92159,34,2.46079,None,4sp070103,3527306
2001,0,116265570.00,19539983.00,61585462,4850189,0.148546,None,-0.0224921,None,19,5.23729,50,3.31287,None,4sp070103,3527306
2002,0,78844222.00,20917387.00,57954944,12736101,-0.321861,None,0.0704916,None,52,10.1695,42,6.9153,0.207452,4sp070103,3527306
2003,0,227139543.00,55197684.00,70594768,33209877,1.88086,None,1.63884,None,68,10.2395,54,8.41461,-0.399833,4sp070103,3527306
2004,0,183279544.00,56335700.00,62313322,25663849,-0.193097,None,0.0206171,None,74,7.15911,55,6.66299,0.375878,4sp070103,3527306
2005,0,193525578.00,59290093.00,63948911,25586897,0.0559039,0.13838,0.0524426,0.242898,69,7.25567,57,6.0666,0.203192,4sp070103,3527306
2006,0,260876780.00,70129226.00,69994721,28467271,0.348022,0.17543,0.182815,0.291204,47,6.5563,93,5.78203,0.138792,4sp070103,3527306
2007,0,342329985.00,164970933.00,72736957,80005344,0.312229,0.341328,1.35238,0.511402,65,12.7369,94,9.18685,-0.089918,4sp070103,3527306
2008,0,575537437.00,106110139.00,87193384,39197413,0.681236,0.20436,-0.356795,0.139639,55,8.828,93,7.48343,0.513994,4sp070103,3527306
2009,0,539976332.00,76417165.00,82674454,21609666,-0.0617876,0.24123,-0.279832,0.0628732,40,7.49506,82,6.84213,0.117302,4sp070103,3527306
2010,0,517305863.00,49457863.00,79574920,13034715,-0.0419842,0.217312,-0.352791,-0.0356146,45,11.1727,86,8.76066,0.0852209,4sp070103,3527306
2011,0,697184068.00,49466480.00,95240502,10063584,0.347721,0.217257,0.000174229,-0.067428,40,8.38393,66,5.71684,-0.0226801,4sp070103,3527306
2012,0,726138534.00,62244537.00,103030207,8925788,0.0415306,0.162291,0.258318,-0.177116,38,6.21214,81,6.25193,0.040824,4sp070103,3527306
2013,0,774754634.00,57992778.00,107201359,9842384,0.0669516,0.061251,-0.0683073,-0.113817,32,6.85355,115,7.08683,-0.0114146,4sp070103,3527306
2014,0,765235383.00,62984740.00,102370169,9364288,-0.0122868,0.0722204,0.086079,-0.0379251,34,8.36885,116,9.78163,-0.148194,4sp070103,3527306
2000,0,1254860582.00,1116209399.00,273622666,898614023,None,None,None,None,102,9.25972,504,23.8437,None,4sp090101,3518800
2001,0,1297377896.00,1094794158.00,247273734,1141561145,0.0338821,None,-0.0191857,None,118,10.1294,503,22.7756,None,4sp090101,3518800
2002,0,940482486.00,946318493.00,260961665,914144160,-0.27509,None,-0.13562,None,96,10.1767,465,29.9581,7.23917,4sp090101,3518800
2003,0,899821398.00,1048441593.00,293833107,1208826585,-0.0432343,None,0.107916,None,111,9.65007,516,23.8674,10.2298,4sp090101,3518800
2004,0,1091643538.00,1291651019.00,357385068,1407148014,0.213178,None,0.231972,None,124,10.485,536,23.6772,8.36662,4sp090101,3518800
2005,0,1218723221.00,1603691215.00,281350935,1310002790,0.116411,-0.0058271,0.241582,0.0751647,125,9.12797,562,18.8569,6.22921,4sp090101,3518800
2006,0,1528633619.00,1859223222.00,326359543,1276807812,0.254291,0.0333499,0.15934,0.111731,131,9.7232,555,18.6491,7.24945,4sp090101,3518800
2007,0,1740257945.00,2027901446.00,379496035,1220822124,0.13844,0.130974,0.0907251,0.164667,138,11.2207,574,20.4073,8.05778,4sp090101,3518800
2008,0,2273847661.00,2705336006.00,444816048,1298471765,0.306615,0.203708,0.334057,0.208747,137,8.45554,550,12.6747,7.50264,4sp090101,3518800
2009,0,2058711303.00,1637113525.00,536255250,1200876944,-0.0946134,0.13528,-0.394858,0.0485441,127,10.7981,608,16.8491,6.9156,4sp090101,3518800
2010,0,2723656722.00,2077541456.00,700371874,1372533808,0.322991,0.17449,0.269027,0.0531392,123,8.97221,542,15.7263,5.24377,4sp090101,3518800
2011,0,2777204592.00,2725322747.00,636085499,1555542570,0.0196603,0.126836,0.311802,0.0794867,128,7.94837,578,12.4137,6.48169,4sp090101,3518800
2012,0,2575177825.00,2921632677.00,557860177,1684547520,-0.0727446,0.0815304,0.0720318,0.0757609,123,8.37973,576,12.2063,9.31626,4sp090101,3518800
2013,0,2936749151.00,2620347172.00,770414674,1666052368,0.140406,0.0524976,-0.103122,-0.00636353,125,9.7038,589,10.1882,6.40207,4sp090101,3518800
2014,0,2734939084.00,2656364765.00,721670048,1812185372,-0.0687189,0.0584502,0.0137454,0.101645,120,9.3006,560,7.99807,8.35581,4sp090101,3518800
2000,0,930246010.00,133105709.00,209124892,33468636,None,None,None,None,92,13.0484,368,61.1056,None,4sp090400,3505708
2001,0,931395405.00,131975816.00,231594224,31670344,0.00123558,None,-0.00848869,None,92,16.6511,406,69.7583,None,4sp090400,3505708
2002,0,786697440.00,156799706.00,323885444,66829645,-0.155356,None,0.188094,None,109,24.7829,404,67.9896,0.400778,4sp090400,3505708
2003,0,794936523.00,219122616.00,174885429,331494164,0.010473,None,0.397468,None,129,27.1918,448,53.3774,9.85336,4sp090400,3505708
2004,0,941566065.00,420868640.00,147363444,424238043,0.184454,None,0.920699,None,152,35.8615,453,48.9809,7.05566,4sp090400,3505708
2005,0,1091429699.00,551495627.00,160114746,293608686,0.159164,0.0324751,0.310375,0.328829,164,34.3769,473,36.3513,5.7984,4sp090400,3505708
2006,0,1451541576.00,616490005.00,227874374,150404626,0.329945,0.092796,0.117851,0.361088,164,32.6104,466,38.1223,2.63383,4sp090400,3505708
2007,0,1474100162.00,630458759.00,248877458,126603548,0.0155411,0.133819,0.0226585,0.320877,163,31.254,453,36.0697,4.3618,4sp090400,3505708
2008,0,2012562229.00,524855860.00,295336924,83518529,0.365282,0.204158,-0.167502,0.190887,129,22.6599,457,38.4477,5.99121,4sp090400,3505708
2009,0,2021347018.00,441698306.00,450687951,61409761,0.00436498,0.165086,-0.158439,0.00970808,129,23.8128,424,37.4333,4.71729,4sp090400,3505708
2010,0,2453425638.00,487049374.00,527467196,64203088,0.213758,0.175859,0.102674,-0.0245474,124,22.5009,493,37.175,5.59133,4sp090400,3505708
2011,0,2530011013.00,623103431.00,349076619,92209740,0.0312157,0.117528,0.279343,0.00213636,120,19.6589,466,33.4524,4.13359,4sp090400,3505708
2012,0,2474976435.00,670752906.00,283359263,91850764,-0.0217527,0.109197,0.0764712,0.0124677,127,20.611,482,28.2204,3.81283,4sp090400,3505708
2013,0,2529455188.00,623974127.00,316325991,99073147,0.0220118,0.0467803,-0.0697407,0.0352025,134,23.5444,487,24.3697,5.72046,4sp090400,3505708
2014,0,2076500274.00,607575794.00,227294808,91128918,-0.179072,0.00539848,-0.0262805,0.0658472,129,21.1945,426,19.7035,4.23098,4sp090400,3505708
2000,0,296749834.00,91459157.00,97216783,31413258,None,None,None,None,57,8.3299,207,13.7308,None,4sp090405,3534401
2001,0,262830018.00,60865501.00,118280696,17253264,-0.114304,None,-0.334506,None,53,12.4167,207,18.4783,None,4sp090405,3534401
2002,0,210668718.00,68490312.00,118472106,22616028,-0.19846,None,0.125273,None,69,13.7411,197,17.8986,0.936773,4sp090405,3534401
2003,0,188100101.00,80997881.00,104553748,27940629,-0.107128,None,0.182618,None,71,14.783,266,22.9983,0.843146,4sp090405,3534401
2004,0,241562278.00,135232326.00,93558563,73990653,0.284222,None,0.669579,None,74,12.617,269,17.3324,0.801315,4sp090405,3534401
2005,0,285765615.00,164470259.00,93426483,53028017,0.182989,-0.00751512,0.216205,0.124533,78,7.74495,307,14.4185,1.69413,4sp090405,3534401
2006,0,293871204.00,261127860.00,65831341,234012809,0.0283645,0.0225779,0.58769,0.338124,75,8.42712,273,11.3691,2.09328,4sp090405,3534401
2007,0,476197060.00,285795676.00,106887066,434527395,0.620428,0.177165,0.0944664,0.330716,81,14.5338,289,11.4497,0.646015,4sp090405,3534401
2008,0,733171912.00,224222664.00,191949378,37512755,0.53964,0.312694,-0.215444,0.225861,84,11.155,286,19.0438,1.06106,4sp090405,3534401
2009,0,599903149.00,162147921.00,179719116,29078220,-0.18177,0.199528,-0.276844,0.03697,85,14.4957,260,26.9703,1.27908,4sp090405,3534401
2010,0,924427306.00,204445417.00,301664438,99312502,0.540961,0.264656,0.260857,0.0444749,75,14.964,256,22.7815,0.816743,4sp090405,3534401
2011,0,1057741817.00,212461370.00,268865703,45527405,0.144213,0.291947,0.0392083,-0.0404108,78,14.6537,265,23.5609,2.86365,4sp090405,3534401
2012,0,914688333.00,193939434.00,175471004,82793370,-0.135244,0.139455,-0.0871779,-0.0746158,69,14.3861,225,19.597,0.803685,4sp090405,3534401
2013,0,1121604712.00,188864987.00,227601016,83038052,0.226215,0.0887466,-0.0261651,-0.0337391,67,14.4286,213,19.0056,1.6665,4sp090405,3534401
2014,0,1061702972.00,178500895.00,216764042,98184050,-0.0534072,0.120945,-0.0548757,0.0194028,63,15.7849,226,20.114,1.41113,4sp090405,3534401
2000,0,228516071.00,124186091.00,2041726926,390409895,None,None,None,None,68,14.691,22,8.38851,None,4sp090501,3513504
2001,0,325149608.00,133961283.00,1656414486,388857790,0.422874,None,0.0787141,None,70,16.8288,28,8.53399,None,4sp090501,3513504
2002,0,404139478.00,111678493.00,2147483647,506123655,0.242934,None,-0.166338,None,76,21.9555,37,10.548,-0.0772741,4sp090501,3513504
2003,0,592597464.00,160552263.00,2147483647,622749053,0.466319,None,0.437629,None,80,31.239,36,9.04537,-0.301793,4sp090501,3513504
2004,0,525900750.00,194345881.00,2147483647,650983477,-0.11255,None,0.210484,None,91,25.8114,27,11.2274,-0.288838,4sp090501,3513504
2005,0,571605650.00,170851429.00,2147483647,562133185,0.0869078,0.201257,-0.12089,0.065882,69,13.9627,31,14.4244,0.0960891,4sp090501,3513504
2006,0,581098307.00,161040057.00,2147483647,376641531,0.016607,0.123138,-0.0574263,0.0375067,68,13.4601,29,16.4381,0.900464,4sp090501,3513504
2007,0,967011802.00,736609146.00,2147483647,1420121913,0.664111,0.190639,3.57407,0.458322,68,13.3704,36,9.72218,1.48641,4sp090501,3513504
2008,0,1567346821.00,839394148.00,2147483647,995357997,0.620815,0.214734,0.139538,0.392098,44,12.6133,30,8.53298,2.43453,4sp090501,3513504
2009,0,876611544.00,530934559.00,2147483647,1158537331,-0.440704,0.107594,-0.367479,0.222625,49,20.9299,27,8.22987,2.05948,4sp090501,3513504
2010,0,1133311878.00,905413830.00,2147483647,1567581009,0.292832,0.146702,0.705321,0.395872,49,26.0624,30,8.99152,2.66961,4sp090501,3513504
2011,0,1651695569.00,831694297.00,2147483647,1091794605,0.457406,0.232356,-0.0814208,0.388692,46,23.5853,25,10.0922,2.06988,4sp090501,3513504
2012,0,1855004949.00,1163729271.00,2147483647,1781696775,0.123091,0.139155,0.399227,0.095779,59,17.6441,35,9.18801,2.55537,4sp090501,3513504
2013,0,1137786563.00,759043691.00,2147483647,1112104528,-0.38664,-0.0620512,-0.347749,-0.0199231,81,30.7055,32,11.6092,2.25564,4sp090501,3513504
2014,0,958405133.00,1087421319.00,2147483647,1432977049,-0.157658,0.0180014,0.43262,0.154174,100,22.2674,37,11.4615,2.58808,4sp090501,3513504
2000,0,551706404.00,918922810.00,2147483647,2147483647,None,None,None,None,96,16.0585,100,7.12321,None,4sp090504,3548500
2001,0,384677949.00,1224006687.00,1761751889,2147483647,-0.302749,None,0.332002,None,102,15.2471,127,8.00251,None,4sp090504,3548500
2002,0,370128088.00,1030450464.00,1979366590,2147483647,-0.0378235,None,-0.158133,None,100,17.2248,165,7.14952,-2.91447,4sp090504,3548500
2003,0,330725092.00,1426503769.00,1459352461,2147483647,-0.106458,None,0.38435,None,114,16.0564,245,6.42921,-3.58647,4sp090504,3548500
2004,0,306335028.00,1682448139.00,1326304141,2147483647,-0.0737472,None,0.179421,None,114,20.9074,262,7.26932,-4.15353,4sp090504,3548500
2005,0,281833947.00,2379340012.00,1612888559,2147483647,-0.0799813,-0.125707,0.414213,0.209583,118,24.5249,320,6.39682,-4.65228,4sp090504,3548500
